path,period,strategy,wealth
10,72,buy_and_hold,2.5
10,73,buy_and_hold,1.5
10,74,buy_and_hold,2.5
10,75,buy_and_hold,4.5
10,76,buy_and_hold,8.5
10,77,buy_and_hold,4.5
10,78,buy_and_hold,2.5
10,79,buy_and_hold,4.5
10,80,buy_and_hold,8.5
10,81,buy_and_hold,4.5
10,82,buy_and_hold,8.5
10,83,buy_and_hold,4.5
10,84,buy_and_hold,2.5
10,85,buy_and_hold,1.5
10,86,buy_and_hold,2.5
10,87,buy_and_hold,1.5
10,88,buy_and_hold,2.5
10,89,buy_and_hold,1.5
10,90,buy_and_hold,2.5
10,91,buy_and_hold,1.5
10,92,buy_and_hold,1
10,93,buy_and_hold,0.75
10,94,buy_and_hold,0.625
10,95,buy_and_hold,0.75
10,96,buy_and_hold,1
10,97,buy_and_hold,1.5
10,98,buy_and_hold,1
10,99,buy_and_hold,0.75
10,100,buy_and_hold,1
11,0,buy_and_hold,1
11,1,buy_and_hold,1.5
11,2,buy_and_hold,1
11,3,buy_and_hold,0.75
11,4,buy_and_hold,1
11,5,buy_and_hold,0.75
11,6,buy_and_hold,1
11,7,buy_and_hold,1.5
11,8,buy_and_hold,2.5
11,9,buy_and_hold,1.5
11,10,buy_and_hold,1
11,11,buy_and_hold,1.5
11,12,buy_and_hold,1
11,13,buy_and_hold,1.5
11,14,buy_and_hold,1
11,15,buy_and_hold,1.5
11,16,buy_and_hold,2.5
11,17,buy_and_hold,1.5
11,18,buy_and_hold,2.5
11,19,buy_and_hold,1.5
11,20,buy_and_hold,2.5
11,21,buy_and_hold,1.5
11,22,buy_and_hold,2.5
11,23,buy_and_hold,1.5
11,24,buy_and_hold,2.5
11,25,buy_and_hold,4.5
11,26,buy_and_hold,8.5
11,27,buy_and_hold,4.5
11,28,buy_and_hold,8.5
11,29,buy_and_hold,4.5
11,30,buy_and_hold,8.5
11,31,buy_and_hold,4.5
11,32,buy_and_hold,2.5
11,33,buy_and_hold,4.5
11,34,buy_and_hold,8.5
11,35,buy_and_hold,16.5
11,36,buy_and_hold,8.5
11,37,buy_and_hold,4.5
11,38,buy_and_hold,2.5
11,39,buy_and_hold,1.5
11,40,buy_and_hold,2.5
11,41,buy_and_hold,1.5
11,42,buy_and_hold,1
11,43,buy_and_hold,0.75
11,44,buy_and_hold,0.625
11,45,buy_and_hold,0.75
11,46,buy_and_hold,0.625
11,47,buy_and_hold,0.75
11,48,buy_and_hold,0.625
11,49,buy_and_hold,0.5625
11,50,buy_and_hold,0.625
11,51,buy_and_hold,0.5625
11,52,buy_and_hold,0.625
11,53,buy_and_hold,0.5625
11,54,buy_and_hold,0.53125
11,55,buy_and_hold,0.5625
11,56,buy_and_hold,0.53125
11,57,buy_and_hold,0.515625
11,58,buy_and_hold,0.53125
11,59,buy_and_hold,0.515625
11,60,buy_and_hold,0.5078125
11,61,buy_and_hold,0.515625
11,62,buy_and_hold,0.53125
11,63,buy_and_hold,0.5625
11,64,buy_and_hold,0.625
11,65,buy_and_hold,0.75
11,66,buy_and_hold,0.625
11,67,buy_and_hold,0.5625
11,68,buy_and_hold,0.625
11,69,buy_and_hold,0.5625
11,70,buy_and_hold,0.625
11,71,buy_and_hold,0.5625
11,72,buy_and_hold,0.53125
11,73,buy_and_hold,0.5625
11,74,buy_and_hold,0.625
11,75,buy_and_hold,0.5625
11,76,buy_and_hold,0.53125
11,77,buy_and_hold,0.515625
11,78,buy_and_hold,0.5078125
11,79,buy_and_hold,0.50390625
11,80,buy_and_hold,0.5078125
11,81,buy_and_hold,0.515625
11,82,buy_and_hold,0.5078125
11,83,buy_and_hold,0.50390625
11,84,buy_and_hold,0.5078125
11,85,buy_and_hold,0.50390625
11,86,buy_and_hold,0.5078125
11,87,buy_and_hold,0.515625
11,88,buy_and_hold,0.53125
11,89,buy_and_hold,0.515625
11,90,buy_and_hold,0.53125
11,91,buy_and_hold,0.5625
11,92,buy_and_hold,0.625
11,93,buy_and_hold,0.75
11,94,buy_and_hold,0.625
11,95,buy_and_hold,0.5625
11,96,buy_and_hold,0.625
11,97,buy_and_hold,0.75
11,98,buy_and_hold,1
11,99,buy_and_hold,1.5
11,100,buy_and_hold,2.5
12,0,buy_and_hold,1
12,1,buy_and_hold,0.75
12,2,buy_and_hold,0.625
12,3,buy_and_hold,0.75
12,4,buy_and_hold,1
12,5,buy_and_hold,0.75
12,6,buy_and_hold,0.625
12,7,buy_and_hold,0.75
12,8,buy_and_hold,0.625
12,9,buy_and_hold,0.5625
12,10,buy_and_hold,0.53125
12,11,buy_and_hold,0.515625
12,12,buy_and_hold,0.53125
12,13,buy_and_hold,0.515625
12,14,buy_and_hold,0.53125
12,15,buy_and_hold,0.5625
12,16,buy_and_hold,0.625
12,17,buy_and_hold,0.5625
12,18,buy_and_hold,0.625
12,19,buy_and_hold,0.5625
12,20,buy_and_hold,0.53125
